ticker,timestamp,open,high,low,close,volume
MRK,3/29/19,81.76,83.47,79.05,83.17,202304963
MRK,2/28/19,75.97,81.76,75.33,81.29,189680622
MRK,1/31/19,75.29,76.5,72.05,74.43,291469783
MRK,12/31/18,79.52,80.19,70.89,76.41,284097163
MRK,11/30/18,73.8,79.49,70.12,79.34,273075212
MRK,10/31/18,71.07,74.49,66.1,73.61,279962378
MRK,9/28/18,68.37,71.58,67.91,70.94,145426244
MRK,8/31/18,65.71,70.25,64.87,68.59,175832618
MRK,7/31/18,60.55,66.12,59.92,65.87,173106994
MRK,6/29/18,59.89,62.96,59.62,60.7,231826351
MRK,5/31/18,59,60.08,56.26,59.53,208457563
MRK,4/30/18,54.4,61,52.83,58.87,270907833
MRK,3/29/18,54.26,56.13,52.97,54.47,234730335
MRK,2/28/18,59.17,60.34,53.36,54.22,265153755
MRK,1/31/18,56.59,63.78,55.96,59.25,281937358
MRK,12/29/17,55.4,57.37,54.185,56.27,226743831
MRK,11/30/17,55.54,56.72,53.63,55.27,256352910
MRK,10/31/17,64.21,64.9,54.41,55.09,236179556
MRK,9/29/17,63.79,66.41,63.33,64.03,157852284
MRK,8/31/17,64.04,64.27,61.16,63.86,156202726
MRK,7/31/17,63.85,64.8,61.72,63.88,164490259
MRK,6/30/17,65.09,66.4,62.69,64.09,210010328
MRK,5/31/17,62.25,65.485,62.1,65.11,197001380
MRK,4/28/17,63.43,64.15,61.87,62.33,148894551
MRK,3/31/17,66.07,66.8,62.81,63.54,215763075
MRK,2/28/17,62.06,66.16,61.56,65.87,183471890
MRK,1/31/17,59.15,63.24,59.05,61.99,261978825
MRK,12/30/16,61.3,63.03,58.56,58.87,207773059
MRK,11/30/16,59,65.46,58.29,61.19,230326851
MRK,10/31/16,62.22,64.855,58.3655,58.72,239044479
MRK,9/30/16,62.7,63.49,61.12,62.41,199747228
MRK,8/31/16,58.83,64,57.18,62.79,258563089
MRK,7/29/16,57.54,59.95,57.42,58.66,161798132
MRK,6/30/16,56.2,57.87,55.1,57.61,218038646
MRK,5/31/16,54.85,56.84,53.06,56.26,170522849
MRK,4/29/16,52.5,57.4,52.44,54.84,182512684
MRK,3/31/16,50.39,53.6,50.0901,52.91,207765295
MRK,2/29/16,50.39,51.13,47.97,50.21,236477888
MRK,1/29/16,52.01,53.4685,48.98,50.67,254935414
MRK,12/31/15,53.77,54.99,51.2,52.82,227283594
MRK,11/30/15,54.69,55.765,52.13,53.01,174641413
MRK,10/30/15,49.35,55.64,48.35,54.66,297931530
MRK,9/30/15,52.47,54.5,48.09,49.39,300095764
MRK,8/31/15,59.3,60.07,45.69,53.85,251080582
MRK,7/31/15,56.93,59.33,55.83,58.96,190680594
MRK,6/30/15,60.85,61.7,56.705,56.93,217486886
MRK,5/29/15,59.76,61.375,58.85,60.89,194734794
MRK,4/30/15,57.26,60.48,56.22,59.56,257363638
MRK,3/31/15,58.29,59.71,55.64,57.48,269518177
